month,realized_net_apy,borrow_pyusd,borrow_usdc,depl_stcusd,depl_paypal_main_total,depl_paypal_main_organic,spread,organic_spread,notes,actual_borrow_apy,actual_deploy_organic_apy,actual_deploy_reward_apy,avg_debt_usd,avg_deployed_usd,carry_contrib_to_nav_apy,vault_token_incentives_to_nav_apy,platform_fee_bps_avg,avg_nav_btc,hypo_current_structure_spread,hypo_current_structure_organic_spread
2025-10,0.979,4.11,4.622,8.64,,,3.403,1.314,ITB #1 $8.7M. Corn assets still bridged.,4.413,5.701,2.08,9463713.585,9505600.172,0.66,,0.0,436.46,,
2025-11,2.616,5.302,4.809,10.348,,,6.028,0.987,"Corn funds back (4-20 Nov). ITB #3 (LBTC on Spark -> PYUSD -> Euler ePYUSD-6, +Merkl PYUSD) $6.8M; ITB #1 closed; fee 0->0.5%->1%.",4.653,5.585,4.992,7733205.164,7808432.441,1.209,,26.558,385.714,,
2025-12,3.152,5.209,4.702,6.174,,,1.578,-3.226,ITB #2 (eBTC Aave -> RLUSD -> Euler eRLUSD-7) $6.7M + ITB #3 $6.8M. tacBTC redeemed via queue.,4.657,1.422,4.778,10134000.275,10190296.138,0.473,,100.0,380.454,,
2026-01,2.204,4.977,4.769,6.892,6.734,1.507,5.075,-2.295,Vault-direct Aave USDT 5.0M (aEthWBTC 51 + aEtheBTC 81 collateral) -> wstUSR 3.5M + stcUSD 1.0M; ITB #2/#3 ~$6M each. Total debt $17.1M (peak).,4.345,2.047,7.36,15305634.292,15328319.41,2.31,,100.0,404.808,1.936,-0.172
2026-02,2.054,4.447,4.186,4.183,4.828,0.468,1.333,-1.884,Exited wstUSR (17 Feb; before March Resolv incident). stcUSD 3.8M.,3.881,1.992,3.209,15444462.684,15482877.004,0.651,,100.0,434.07,0.105,-1.654
2026-03,1.993,4.308,4.654,4.891,5.028,0.488,4.654,-0.596,ITB #2 closed; ITB #3 halved. Aave USDT 4.0M + USDC 2.1M vs stcUSD 5.8M.,3.628,3.013,5.219,11189063.197,11256222.282,1.681,,100.0,458.01,0.489,-1.343
2026-04,1.941,4.063,4.729,5.658,5.868,1.745,-0.196,-0.929,Full deleverage by 2 May; whale exit 237.7 shares via BoringSolver (1 Apr); Scroll shares migrated to Optimism (Cash). Optimism chain added 5 Apr.,5.56,4.538,0.718,4295992.076,4384361.822,-0.034,,100.0,342.13,1.394,-0.269
2026-05,2.067,3.86,4.765,5.251,5.161,1.693,-0.006,-0.006,Morpho LBTC/PYUSD 7.0M (12 May) -> Sentora Paypal USD Main 2.5M + stcUSD 1.9M (+ PRIME later).,2.723,2.662,0.0,3468555.773,3539892.898,-0.001,,100.0,213.275,0.968,-0.431
2026-06,2.012,3.81,4.613,5.167,5.023,1.706,2.799,-0.284,Morpho LBTC/PYUSD 7.0M -> Sentora PRIME Main 2.3M + stcUSD 2.3M; vault Merkl PYUSD claims begin (17.7k on 24 Jun).,3.61,3.312,3.07,6968173.312,6997341.522,1.463,,100.0,201.827,0.955,-0.383
2026-07,1.704,3.76,4.419,5.273,5.163,2.022,3.096,0.571,Debt up to 8.5M PYUSD; stcUSD exited 14 Jul; 1.75M USDC bridged by CCTP to Optimism and parked in ether.fi liquidRWA (21 Jul-24 Aug). Fee 1%->0.5% (13 Jul).,3.569,4.136,2.523,7764133.275,7771633.049,2.034,,70.821,194.804,1.187,-0.081
2026-08,1.157,3.828,4.279,5.178,5.855,2.327,0.726,-1.155,Migration Morpho LBTC/PYUSD -> Spark (25 Aug): LBTC collateral swapped to WBTC/cbBTC; Spark PYUSD 7.7M -> Sentora Paypal USD Main 2.9M + stcUSD 1.6M; fee 0.5%->0% (24 Aug).,4.934,3.776,1.878,8097134.215,8104569.538,0.404,,38.653,205.801,1.429,0.006
2026-09 (1-20),1.738,3.998,4.313,5.725,5.763,2.794,1.912,0.006,Spark 153.08 WBTC + 54.80 cbBTC; debt 5.93M PYUSD + 4.37M USDC (18 Sep); stcUSD 6.14M + Paypal USD Main 4.15M.,4.075,4.079,1.905,8984142.411,8989329.513,0.966,,0.0,222.621,1.606,0.408
