date,venue,chain,role,collateral,collateral_amount,collateral_usd,debt_asset,debt_usd,ltv,lltv_or_lt,liq_price_usd,source,note
2026-02-05 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,391.873,24588065,USD debt vs BTC,18404605,0.7485,,,raw/balance_sheet_daily.csv,NAV 515.6 BTC; BTC lent 0.0; USD vaults $9.96M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 233.5 BTC-eq
2026-03-01 00:00 UTC,Katana Morpho vbWBTC/vbUSDC+vbUSDT,Katana,BTC collateral + dollar loan,BTC wrappers,151.544,10152704,USD stables,6260121,0.6166,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 66995
2026-03-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,151.544,10152704,USD debt vs BTC,6260121,0.6166,,,raw/balance_sheet_daily.csv,NAV 547.3 BTC; BTC lent 0.0; USD vaults $13.14M; stable-collateral loops $4.00M debt; unidentified (CEX/other) 248.4 BTC-eq
2026-04-01 00:00 UTC,Katana Morpho vbWBTC/vbUSDC+vbUSDT,Katana,BTC collateral + dollar loan,BTC wrappers,233.51,15932634,USD stables,9943275,0.6241,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 68231
2026-04-01 00:00 UTC,Monad Morpho (BTC collateral -> USD),Monad,BTC collateral + dollar loan,BTC wrappers,73.679,5027192,USD stables,0,0.0,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 68231; Monad lines also carry BTC-denominated debt 60.0 cbBTC
2026-04-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,307.189,20959833,USD debt vs BTC,9943275,0.4744,,,raw/balance_sheet_daily.csv,NAV 575.5 BTC; BTC lent 280.5; USD vaults $6.03M; stable-collateral loops $4.02M debt; unidentified (CEX/other) 80.9 BTC-eq
2026-04-18 00:00 UTC,Katana Morpho vbWBTC/vbUSDC+vbUSDT,Katana,BTC collateral + dollar loan,BTC wrappers,232.435,17927285,USD stables,10500115,0.5857,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 77128
2026-04-18 00:00 UTC,Monad Morpho (BTC collateral -> USD),Monad,BTC collateral + dollar loan,BTC wrappers,138.679,10696042,USD stables,0,0.0,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 77128; Monad lines also carry BTC-denominated debt 120.0 cbBTC
2026-04-18 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,371.115,28623327,USD debt vs BTC,10500115,0.3668,,,raw/balance_sheet_daily.csv,NAV 579.7 BTC; BTC lent 290.8; USD vaults $6.69M; stable-collateral loops $3.43M debt; unidentified (CEX/other) 78.4 BTC-eq
2026-05-01 00:00 UTC,Ethereum Morpho (BTC collateral markets),Ethereum,BTC collateral + dollar loan,BTC wrappers,22.905,1790537,USD stables,1055522,0.5895,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78172
2026-05-01 00:00 UTC,Monad Morpho (BTC collateral -> USD),Monad,BTC collateral + dollar loan,BTC wrappers,183.647,14356014,USD stables,0,0.0,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78172; Monad lines also carry BTC-denominated debt 161.7 cbBTC
2026-05-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,206.552,16146559,USD debt vs BTC,1055522,0.0654,,,raw/balance_sheet_daily.csv,NAV 389.8 BTC; BTC lent 299.8; USD vaults $1.06M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 39.5 BTC-eq
2026-06-01 00:00 UTC,Aave v3 Core/Horizon,Ethereum,BTC collateral + dollar loan,BTC wrappers,116.688,8584707,USD stables,4799403,0.5591,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 73570
2026-06-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,116.688,8584707,USD debt vs BTC,4799403,0.5591,,,raw/balance_sheet_daily.csv,NAV 372.0 BTC; BTC lent 54.1; USD vaults $4.80M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 201.0 BTC-eq
2026-07-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,0.0,0,USD debt vs BTC,0,,,,raw/balance_sheet_daily.csv,NAV 367.3 BTC; BTC lent 22.8; USD vaults $0.00M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 343.1 BTC-eq
2026-08-01 00:00 UTC,Aave v3 Core/Horizon,Ethereum,BTC collateral + dollar loan,BTC wrappers,10.5,659505,USD stables,375344,0.5691,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 62810
2026-08-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,10.5,659505,USD debt vs BTC,375344,0.5691,,,raw/balance_sheet_daily.csv,NAV 361.2 BTC; BTC lent 59.4; USD vaults $0.38M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 289.7 BTC-eq
2026-09-01 00:00 UTC,Ethereum Morpho (BTC collateral markets),Ethereum,BTC collateral + dollar loan,BTC wrappers,106.005,8327026,USD stables,5007185,0.6013,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78553
2026-09-01 00:00 UTC,Aave v3 Core/Horizon,Ethereum,BTC collateral + dollar loan,BTC wrappers,126.004,9897969,USD stables,5333916,0.5389,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78553
2026-09-01 00:00 UTC,Monad Morpho (BTC collateral -> USD),Monad,BTC collateral + dollar loan,BTC wrappers,81.314,6387466,USD stables,3431533,0.5372,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78553; Monad lines also carry BTC-denominated debt 0.0 cbBTC
2026-09-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,313.323,24612462,USD debt vs BTC,13772634,0.5596,,,raw/balance_sheet_daily.csv,NAV 355.9 BTC; BTC lent 35.0; USD vaults $8.80M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 70.8 BTC-eq
2026-09-21 00:00 UTC,Ethereum Morpho (BTC collateral markets),Ethereum,BTC collateral + dollar loan,BTC wrappers,126.0,10893599,USD stables,5801610,0.5326,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 86457
2026-09-21 00:00 UTC,Aave v3 Core/Horizon,Ethereum,BTC collateral + dollar loan,BTC wrappers,1.364,117945,USD stables,0,0.0,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 86457
2026-09-21 00:00 UTC,Spark,Ethereum,BTC collateral + dollar loan,BTC wrappers,113.416,9805642,USD stables,4956250,0.5054,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 86457
2026-09-21 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,240.781,20817186,USD debt vs BTC,10757860,0.5168,,,raw/balance_sheet_daily.csv,NAV 354.0 BTC; BTC lent 102.3; USD vaults $10.79M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 10.5 BTC-eq
