product,how,yield_btc,run_by,url
Two Prime Axiom WBTC Vault (Pareto),"WBTC in a Pareto credit vault is lent to Two Prime, which re-lends it to public companies and rated institutions; so far only Two Prime's own 150 WBTC.","1.98 (first-epoch rate, 16 Sep to 1 Oct 2026, on-chain)","Two Prime (borrower and manager), on Pareto",https://app.pareto.credit/vault#0xD1624bb76743dd8dC8D8043246e7338A5CD23772
Hilbert Xapo Byzantine BTC Credit Fund,"Fund lends BTC short-term to tier-one institutions (ETF creation, prime broking, settlement loans), with no leverage and no DeFi; bought through Xapo Bank.",2.94 net now (target 3.5 to 5),Hilbert Capital (Hilbert Group) with Xapo Bank,https://www.hilbert.group/en/hilbert-xapo-byzantine-btc-credit-fund/
"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",Native BTC time-locked on Bitcoin to secure Babylon-connected chains; rewards are newly minted BABY. Kraken's custodial staking is 80% of Babylon (87% of this row).,"about 0.04 (in BABY); 0.56 with 20,000 BABY co-staked per BTC; Kraken quotes up to 1",Babylon Labs,https://babylonlabs.io/
Lombard LBTC - direct / other holders,"BTC stays with custodians; Bitwise sells call options on up to 60% of it, 6 to 8 weeks out and well above the price, and the premiums add to LBTC's value.",2.5 net target; realized 17 Aug to 23 Sep 2026: -0.11% (on-chain LBTC rate),Lombard; options managed by Bitwise,https://docs.lombard.finance/learn/products/strategy
Bedrock uniBTC - direct / other holders,"BTC, FBTC and M-BTC deposited for uniBTC; Bedrock puts it up as cover for market makers' loans on Cap and shares the interest; 153 BTC staked in Babylon.",0.42,Bedrock (RockX),https://docs.bedrock.technology/yield-vaults/overview
Lorenzo stBTC,"BTC staked in Babylon through Lorenzo (custody Cobo, Ceffu, ChainUp) for stBTC; almost nothing left (0.3 BTC) since Lorenzo moved to fund products.",,Lorenzo Protocol,https://lorenzo-protocol.gitbook.io/docs/bitcoin-liquidity-layer/stbtc-babylon-btc-liquid-staking-token
Starknet BTC Staking,"Wrapped BTC (mostly SolvBTC and WBTC) delegated to Starknet validators, adding to Starknet's proof-of-stake security; rewards are newly minted STRK.","about 2.7 (STRK rewards, via Endur's BTC pools, 24 Sep)",Starknet (StarkWare),https://www.starknet.io/staking/bitcoin-staking-user-guide-for-starknet/
Gate GTBTC,"Gate exchange users swap BTC 1:1 for GTBTC; Gate stakes nearly all of it in Babylon but pays far more than Babylon's BABY rewards (source undisclosed). On 24 September the Gate Earn finality provider held 3,485 BTC on-chain and GTBTC supply was 3,456; Gate's own page showed 2,790 BTC staked","about 2.7 (in BTC; Gate's estimated APR, 24 Sep)",Gate,https://www.gate.com/staking/BTC
B2 Buzz Farming,"BTC bridged to the B² Network layer 2 and locked in its Buzz Farming pools; earns B² token emissions plus partner points or tokens (Babylon, Lombard, Bedrock)",,B² Network (BSquared),https://www.bsquared.network/
Accountable YieldApp (cbBTC/wcBTC),"cbBTC and wcBTC lent without collateral to named borrowers, mainly Hyperithm's delta-neutral fund on Monad (also Noon, Keyrock), with borrower data verified.","about 5 to 6 on the Hyperithm vault (incl. 0.3 in MON rewards, Sep 2026); about 0 on the Noon wcBTC vault","Accountable (platform); borrowers Hyperithm, Noon, Keyrock",https://yield.accountable.capital
Symbiotic (BTC vaults) - direct / other holders,"uniBTC and SolvBTC posted in Symbiotic vaults as slashable cover for market makers (Susquehanna, Selini and others) borrowing stablecoins on Cap; paid in USDC.",0.4 to 0.6 (in USDC) on the two uniBTC vaults DefiLlama tracks; the largest (Susquehanna) is not tracked,Symbiotic; vaults run by Bedrock and Solv; loans via Cap,https://symbiotic.fi
Rysk V12 (BTC part),Users lock WBTC or UBTC and sell covered calls at a strike and date they pick; they get the premium upfront in dollars and sell the BTC if price ends above it.,,Rysk Finance,https://docs.rysk.finance/getting-started/protocol-and-product/how-it-works
"GMX v2 BTC-only pool (GM BTC/USD, WBTC.b)","WBTC.b as liquidity for BTC perps on Arbitrum: LPs earn trading, borrowing and funding fees and take the other side of traders","6.9 now, 5.2 over 30 days (23 Sep 2026)",GMX,https://defillama.com/yields/pool/ffb4e407-6507-4615-b776-a0d99cfc1bbb
Across WBTC pool (bridge liquidity),Single-sided WBTC that relayers draw on to fill bridge transfers; LPs earn bridge fees plus ACX token rewards,"0.6 plus 0.8 in ACX now, 1.3 over 30 days (Sep 2026)",Across,https://defillama.com/yields/pool/07d1a9bf-eafe-4a25-8dcc-c687a1d2478a
Multipli xWBTC,"WBTC goes to Multipli's trading desk, which keeps it on Binance (about 97%) and OKX and earns futures premium and funding with hedged trades; paid in BTC.","0.9 realized (v2 vault, Jul to Sep 2026); 1.28 last posted (Jul 2026)",Multipli,https://docs.multipli.fi/yield-mechanism/yield-mechanics-for-xtokens
BTCD Labs / TAU BTC dollar-carry vaults (IPOR Fusion),"WBTC collateral -> stablecoin debt -> yield (""wBTC Dollar Carry"", ""TAU InfiniFi BTC Carry"").",,,
b14g,"Native BTC time-locked on Bitcoin and staked on Core (2,350 BTC) or Babylon (775 BTC) via b14g, which pairs it with CORE or BABY holders for higher rewards.","about 0.13 (in CORE, BTC side; DefiLlama 24 Sep, 30-day average 0.11); docs: about 2 if fully matched with CORE",b14g,https://docs.b14g.xyz/
CIAN Yield Layer (BTC vaults),"Mostly FBTC locked with CIAN by whitelisted depositors (2,156 BTC, unchanged since Oct 2025) plus pumpBTC in a CIAN vault; how the BTC earns is undisclosed.",,CIAN Protocol,https://docs.cian.app/
Core BTC staking (Satoshi Plus),"Native BTC time-locked on Bitcoin and delegated to Core validators; rewards in CORE, far higher if CORE is staked too. About 2,000 BTC of it is staked via b14g.","about 0.5 average across validators (in CORE); about 0.05 BTC-only, up to about 2 with enough CORE",Core Foundation (Core DAO),https://docs.coredao.org/docs/Learn/core-concepts/satoshi-plus-consensus/BitcoinStaking
exSat Staking BTC,"BTC staked with exSat validators, kept in holders' own 100-BTC addresses (credit staking) or bridged to custodians as XBTC; rewards are newly minted XSAT.",,"exSat Network (XSAT Foundation, backed by EOS Network Foundation)",https://docs.exsat.network/guides-of-data-consensus/run-a-btc-validator/credit-staking-and-xbtc-staking
SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,"BTC behind Solv's xSolvBTC (ex-SolvBTC.BBN), mostly FBTC locked with Solv; meant for Babylon staking, but only 31 BTC is staked there now; other use undisclosed.",,Solv Protocol,https://docs.solv.finance/key-products/xsolvbtc
Vishwa,Native BTC held by an institutional custodian (KYC) backs BTCvc and BTCvp tokens on Pharos and Sui; yield from basis arbitrage and other market-neutral trades.,"2 to 8.5 target range (BTCvc, paid monthly in BTCvc); 6.55 indicative (BTCvp, July 2026)",Vishwa Ltd (Cayman),https://docs.vishwalab.com/naro-btcvp-vault/vault-overview
ObeliskBTC,BTC held by NodeDAO's threshold-signature custody network and issued as oBTC on EVM chains; used for Babylon points in 2024; current yield source undisclosed.,,NodeDAO,https://docs-obelisk.nodedao.com/
Mellow restaking (uniBTC),"uniBTC deposited in Mellow's rsuniBTC vault, which restakes it in a Symbiotic vault; earns Mellow and Symbiotic points only (no APR shown).",points only (no APR on Mellow's API),Mellow; curator RockX (Bedrock),https://app.mellow.finance/vaults/ethereum-rsunibtc
PumpBTC - direct / other holders,"WBTC, BTCB or FBTC swapped for pumpBTC; Cobo custody holds the BTC, once staked in Babylon but none staked there now; yield source now undisclosed.",,PumpBTC (custody by Cobo),https://pumpbtc.gitbook.io/pumpbtc/tech-specs/how-does-pumpbtc-work
Fragmetric (zBTC),"zBTC (Zeus Network's BTC on Solana) deposited for fragBTC; docs say the yield comes from Solv's SolvBTC.JUP, a delta-neutral Jupiter liquidity strategy.",,Fragmetric (with Solv and Zeus Network),https://docs.fragmetric.xyz/assets/fragbtc
Solv Others (M-BTC),Solv LST backing on Merlin (small).,,Solv Protocol,https://solv.finance
Swell swBTC,"WBTC deposited for swBTC, a Swell vault that restaked it in a Gauntlet-curated Symbiotic vault for points; only about 6 BTC left.",,Swell (Symbiotic vault curated by Gauntlet),https://app.swellnetwork.io/stake/swbtc
EigenLayer / EigenCloud (BTC part),About 4 BTC of tokens (mostly tBTC) restaked in EigenLayer and delegated to operators that secure outside services (AVSs); any rewards come from them.,,Eigen Labs,https://www.eigencloud.xyz
Pell Network,BTC tokens and LSTs deposited in Pell's restaking contracts on about 20 chains to back services built on Pell; rewards were points; almost all withdrawn.,,Pell Network,https://docs.pell.network/introduction/welcome-to-pell-network
SatLayer,"Wrapped BTC and BTC LSTs deposited in SatLayer vaults (Babylon Genesis, Ethereum, BNB, Sui and others) to secure apps built on it; rewards are Sats² points.",points only (Sats²),SatLayer,https://docs.satlayer.xyz/overview/readme
BitFi bfBTC (EVM chains),"BTC held by custodian Ceffu is mirrored to Binance, where BitFi's partner quant desks run mostly hedged trades (long spot, short futures) for funding and basis.",6.8 since launch (Jan 2025 to Sep 2026); 6.1 last 30 days,BitFi (custody: Ceffu),https://docs.bitfi.one/bitfis-cedefi/cefi/bitfi-strategies
BitFi bfBTC (AILayer),"A plain 1:1 wrapped BTC: BitFi says no trading strategy runs on AILayer bfBTC and deposits and withdrawals there are switched off, so it earns nothing.","0 (no yield mechanism, per BitFi docs)",BitFi,https://docs.bitfi.one/developer/bfbtc-overview/
DeSyn Basis Trading (BTC),"WBTC deposited on Bitlayer is swapped into YBTC.b and put into market-neutral basis trades, currently on Jupiter, plus DeSyn points; withdrawable anytime.","up to 0.5 (posted by DeSyn, Sep 2026)",DeSyn Protocol,https://www.desyn.io/#/pool/0x3d3e4B152aAdcb66edd8228820bDa6530A08bCFA?network=bitlayer
Hope (BTC basis collateral),"Not a BTC yield product: 20.3 BTC in Coinbase Custody as reserve backing the HOPE token, unchanged since 2024; no basis trade found and hope.money is offline.",,Hope.money (LightDAO),https://docs.hope.money/hope-token/hope-gomboc
Midas mRe7BTC (Re7),"BTC buys a Midas token whose manager Re7 runs market-neutral, options-driven BTC strategies plus some DeFi yield; value follows a NAV oracle.",-0.6 since launch (NAV 1.000 on 4 Sep 2025 to 0.994 on 21 Sep 2026),Re7 Capital (manager); Midas (issuer),https://midas.app/mre7btc
Manta CeDeFi (BTC),"WBTC or BTCB held by Ceffu and mirrored to Binance for hedged funding-rate trades (long spot, short futures); depositors get mBTC. Only 8 BTC left.",,"Manta Network, with Ceffu",https://cedefi.manta.network
Liminal Basis (BTC),"A dollar product: stablecoin deposits buy spot BTC and short BTC perps on Hyperliquid to earn funding; the token is priced and redeemed in USDC, not BTC.",,Liminal (liminal.money),https://docs.liminal.money/tokenized/xtokens
D2 Finance (UBTC),"UBTC in D2's hXXI vault on Hyperliquid: traders sell options over the BTC, trade volatility and cross-venue price gaps, and hedge; monthly epochs.",about 4.9 a year realized (share price 1.000 in May 2025 to 1.061 on 4 Aug 2026); last epoch 5.0,D2 Finance (D-Squared: HessianX and BWS Labs),https://d2.finance/strategies
Ribbon (WBTC theta vault),"Legacy Ribbon vault that sold weekly covered calls on WBTC; it has not sold an option since its last one expired on 12 Dec 2025, so the WBTC sits idle.",0 since Dec 2025 (no options sold),Ribbon Finance (team now runs Aevo),https://app.ribbon.finance/v2/theta-vault/T-WBTC-C
Hegic (WBTC pool),"Legacy Hegic v1 pool where WBTC backed call options sold to traders; dormant, with 6.16 WBTC stuck in old option locks and no new options since at least 2023.",0 (dormant pool),Hegic,https://www.hegic.co
Wildcat (BTC),"WBTC and cbBTC lent without collateral to market makers at a fixed rate they set; about 98% is borrowed by Wintermute, the rest by Auros and Hyperithm.","4.0 (Wintermute and Auros markets; Hyperithm 4.5), Sep 2026",Wildcat Finance (protocol); main borrower Wintermute,https://app.wildcat.finance
Solv RWA (SolvBTC),SolvBTC allocated to RWA/credit strategies.,,Solv Protocol,https://solv.finance/
Native Credit Pool (BTC part),"BTC (WBTC, cbBTC, bgBTC) lent to verified market makers who post collateral and trade on Native, and used for Native's swap routing; variable rate.","2.9 (WBTC pool, Sep 2026)",Native,https://docs.native.org/native-dev/modules/native-pool
"Veda (other BTC vaults, excl. Kraken)","Vaults built on Veda other than Kraken's, ether.fi Liquid BTC and Lombard's LBTCv (counted in their own rows): ether.fi's eBTC restaking vault net of the LBTC it holds (counted in the LBTC row), a PumpBTC vault (~150 BTC) and small ones",,"Veda (platform); vaults by Lombard, ether.fi, PumpBTC",https://veda.tech
Uniswap v3 BTC-pair pools (over $1M),"Liquidity in nine Uniswap v3 pools that pair two BTC tokens (WBTC with cbBTC, tBTC, SolvBTC, FBTC and others); earns swap fees in BTC, no token rewards","0.8 in fees now and over 30 days, TVL-weighted; 0 to 2.3 by pool (Sep 2026)",Uniswap,https://defillama.com/yields/pool/c0bbcf6c-9454-4773-a19f-c6486484c287
Uniswap v4 BTC-pair pools (over $1M),"Liquidity in five Uniswap v4 pools pairing a BTC token (WBTC, BTC.b, tBTC or LBTC) with cbBTC; earns swap fees in BTC; three had no volume on 24 Sep","0.3 in fees now, 0.5 over 30 days, TVL-weighted (Sep 2026)",Uniswap,https://defillama.com/yields/pool/1ba55596-294c-4aa5-b1fa-615e8dd3ccdd
Proxy (PRXY BTC strategies),"Not a yield strategy: the 261 BTC is the supply of BTCpx, BTC Proxy's wrapped BTC on Polygon, flat since April 2025; the project's websites are offline",,BTC Proxy (Proxy Finance),https://defillama.com/protocol/proxy
Fluid DEX BTC pools (over $1M),"Liquidity in Fluid DEX pools pairing BTC tokens (WBTC/cbBTC, eBTC/cbBTC, WBTC/LBTC); earns swap fees, and the same deposit can back loans on Fluid","1.2 in fees now, 0.8 over 30 days, TVL-weighted (Sep 2026)",Fluid (Instadapp),https://defillama.com/yields/pool/8e47b0df-d495-4224-bd98-6cf693e88745
Lagoon (BTC vaults),"BTC in curator-run vaults on Lagoon: mainly Tulipa Capital and 9Summits' Flagship cbBTC (~125 BTC, strategy not visible on-chain) and small market-neutral funds",2.4 and 6.6 over 30 days in two small vaults; largest not published (Sep 2026),"Lagoon (platform); curators Tulipa Capital, 9Summits, DAMM Capital and others",https://app.lagoon.finance
Convex (BTC LPs),Curve BTC pool tokens staked in Convex for boosted CRV and CVX on top of Curve fees; ~65 BTC is old renBTC/sBTC pools whose tokens trade far below BTC,"0.4 to 3.1 in BTC-only pools, mostly CRV and CVX (Sep 2026)",Convex Finance,https://www.convexfinance.com/
Ember (BTC vaults),"186 of its 190 BTC is the Syntetika/Hilbert BTC Basis+ vault on Base, already counted in the Syntetika hBTC row; the rest is two small Sui vaults","1.6 reported for the Syntetika vault (Ember, 11 Sep 2026)","Ember Protocol; vault managers Hilbert and Tulipa (Base), Gamma and MEV Capital (Sui)",https://ember.so/
"Curve BTC pools (over $1M, LP not staked via Convex or Stake DAO)","Liquidity in four Curve pools of BTC tokens (tBTC/WBTC on Ethereum and Arbitrum, cbBTC/WBTC/LBTC on Monad, pumpBTC/WBTC); swap fees plus CRV or WMON rewards","0.4 now, 0.5 over 30 days, TVL-weighted, mostly rewards (Sep 2026)",Curve Finance,https://defillama.com/yields/pool/3dadbe45-e87f-43a5-820a-20c908bef612
Mellow Core (BTC vaults),"Mostly tBTC and cbBTC (~147 BTC) parked in Mellow's Mezo pre-deposit vaults for points (0%, about a year to withdraw), plus Tyr Capital's rBTC vault on Rootstock","0 (Mellow API, Sep 2026)","Mellow (platform); Mezo pre-deposit vaults, Tyr Capital",https://app.mellow.finance/vaults
Beefy (BTC vaults),"Auto-compounding vaults on many chains holding BTC liquidity positions (Curve pools via Convex and Stake DAO, Uniswap, Aerodrome); fees and rewards reinvested","2.4 in the largest BTC-only vault (hemiBTC/cbBTC/WBTC via Stake DAO), Sep 2026",Beefy,https://beefy.com
Yearn (BTC vaults),WBTC in Yearn vaults that lend it on money markets such as Morpho and Aave; Katana vbWBTC vaults also pay KAT; a few old Curve BTC LP vaults remain,0.03 on the Ethereum WBTC vault; 1.0 to 1.8 in KAT on Katana (Sep 2026),Yearn,https://yearn.fi/
Badger DAO (BTC vaults),Old Badger vaults (2020-21) still holding a SushiSwap WBTC/ETH LP and Curve renBTC/sBTC pool tokens; the renBTC/sBTC part (~61 BTC) holds almost no real BTC,,BadgerDAO,https://badger.com/
Volo vault (xBTC),"OKX's xBTC in Volo's vault on Sui; Volo's BTC vaults post it on NAVI to borrow SUI that is staked and looped, and also supply DEX liquidity","10.0 instant APR shown by Volo for the xBTC vault (target 3), 24 Sep 2026",Volo (NAVI Protocol),https://volosui.gitbook.io/volo/volo-vaults/yield-hub-for-btcfi
YO Protocol (yoBTC),"cbBTC in YO's yoBTC vault on Base and Ethereum, which spreads it across a basket of DeFi BTC pools and compounds the return into the token price","0 (DefiLlama, now and over 30 days, Sep 2026)",YO Protocol,https://app.yo.xyz
Avant avBTC,"BTC.b deposited with Avant to mint avBTC; Avant runs basis trades, lending and other market-neutral strategies, and stakers (savBTC) get the yield in BTC","2.2 for savBTC now, 2.6 over 30 days (Sep 2026)",Avant Protocol,https://app.avantprotocol.com/products/avbtc
Stake DAO (BTC LPs),Curve BTC pool tokens (mainly hemiBTC/cbBTC/WBTC and cbBTC/WBTC) staked through Stake DAO for boosted CRV rewards on top of Curve trading fees,"0.1 to 2.7, mostly CRV (Sep 2026)",Stake DAO,https://stakedao.org/
t3tris (WBTC),"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending).","0 reported (DefiLlama, Sep 2026)",t3tris (platform); vault by Ellen Capital,https://t3tris.finance/
Bancor v3 WBTC pool,"Single-sided WBTC in Bancor v3, earning swap fees; LPs are owed 66 WBTC but Bancor's vault holds only about 13 WBTC (the pool is in deficit)",0.02 (Sep 2026),Bancor,https://app.bancor.network/earn
Chainflip AMM (native BTC),"Native BTC in Chainflip's BTC Boost pool, which fronts incoming BTC deposits so cross-chain swaps settle faster; earns a fee on each boosted deposit","4.1 now, 3.5 over 30 days (Sep 2026)",Chainflip,https://scan.chainflip.io/pools/Btc/boost
Yield Yak (BTC),Old Yield Yak strategies: ~52 of its ~63 BTC is stuck in DeltaPrime lending pools that are fully lent out (DeltaPrime was hacked in 2024); ~5 BTC.b lends on Benqi,,Yield Yak,https://yieldyak.com
"Orca BTC pools (Solana, over $1M)","Liquidity in two Orca pools on Solana pairing BTC tokens (cbBTC/WBTC, cbBTC/FBTC); earns swap fees; the cbBTC/FBTC pool had almost no volume","1.6 in fees now, 1.5 over 30 days, TVL-weighted (5.5 cbBTC/WBTC, 0 cbBTC/FBTC), Sep 2026",Orca,https://defillama.com/yields/pool/42dc3364-dd6b-47e7-a2e3-f4907bb3b5d2
"Ekubo BTC pools (Starknet, over $1M)","Liquidity in two Ekubo pools on Starknet (WBTC/strkBTC, SolvBTC/strkBTC); small swap fees plus STRK token incentives","15.7 now (15.4 in STRK, 0.3 fees), 17.5 over 30 days, TVL-weighted (Sep 2026)",Ekubo,https://defillama.com/yields/pool/42284cfd-a59f-4128-8677-bbaeb0519148
Belt (BTCB),"BTCB in Belt Finance's 2021 BTC vault on BNB Chain; DefiLlama counts the vault and its own strategy contracts, so about 23 BTCB is there, not 46",,Belt Finance,https://belt.fi/
IPOR Fusion (other BTC vaults),"Mostly Tesseract vaults on IPOR Fusion: one borrows ETH against cbBTC and loops it (~23 BTC), one lends WBTC (~16 BTC); also Harvest's IPOR vaults","1.2 (cbETH loop) and 0.5 (WBTC lending), IPOR API, 24 Sep 2026",IPOR Fusion (platform); vaults mainly by Tesseract,https://app.ipor.io/fusion
UltraYield vaults (cbBTC),"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending).",,UltraYield (Edge Capital),https://ultrayield.gitbook.io/ultrayield/readme
Tranchess (BTCB),"BTCB in Tranchess's BTC fund on BNB Chain (bQUEEN), which holders can split into a fixed-rate tranche (BISHOP) and a leveraged one (ROOK); CHESS rewards on top",,Tranchess,https://tranchess.com
Troves (BTC),"BTC tokens in Troves' automated vaults on Starknet, mainly managed Ekubo liquidity ranges (WBTC/strkBTC, xWBTC/WBTC) earning swap fees and incentives",0.9 (WBTC/strkBTC) and 0.7 (xWBTC/WBTC) over 30 days (Sep 2026),Troves (formerly STRKFarm),https://www.troves.fi/
Katana pre-launch (WBTC),WBTC left in Katana's pre-launch deposit vault on Ethereum (built with Yearn); it earned KAT tokens before Katana's June 2025 launch and is routed to its bridge,,Katana (with Yearn),https://app.katana.network/
Hydration Omnipool tBTC (Polkadot),tBTC added single-sided to Hydration's Omnipool on Polkadot; earns swap fees plus farm rewards paid in atBTC (tBTC in Hydration's money market),"5.6 now (0.4 fees + 5.2 farm rewards in atBTC), 4.5 over 30 days (Sep 2026)",Hydration,https://app.hydration.net/liquidity/all-pools
Aerodrome Slipstream cbBTC/LBTC (Base),"cbBTC/LBTC concentrated-liquidity pool on Aerodrome (Base); earns swap fees, and staked LPs get AERO emissions; only the cbBTC half is counted","0.6 now (0.55 fees + 0.03 AERO), 2.4 over 30 days (Sep 2026)",Aerodrome,https://defillama.com/yields/pool/ff009fa1-2dda-43e0-a0e2-302787e736c8
YieldFi (yBTC),"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending).",,YieldFi,https://yield.fi/
Autofarm (BTC),"Dormant 2021 auto-compounding vaults (emissions ended Oct 2021, site offline): mostly beltBTC, Belt's BTC vault already counted in the Belt row, plus BTCB",,Autofarm,https://defillama.com/protocol/autofarm
Harvest (BTC),"Harvest vaults lend WBTC and cbBTC on Morpho, Dolomite and Arcadia (Autopilot moves funds between them); a few old renBTC Curve vaults remain",0.1 to 0.9 (Sep 2026),Harvest Finance,https://harvest.finance/
Moonwell vaults (cbBTC),"cbBTC in Moonwell's Frontier cbBTC vault on Base, which lends it to borrowers on Morpho markets","0.1 (Morpho API, Sep 2026)",Moonwell,https://moonwell.fi/vaults
Radpie (BTC),"WBTC, BTCB and GMX BTC pool tokens deposited through Radpie (Magpie) into Radiant Capital's lending markets, for interest plus RDNT and RDP rewards",,Radpie (Magpie),https://www.radiant.magpiexyz.io/stake
Superform (BTC),"WBTC and cbBTC in Superform's SuperVaults, which allocate to lending vaults and pay token rewards on top","1.7 (0.05 interest + 1.6 token rewards), Sep 2026",Superform,https://app.superform.xyz
OmniYield (WBTC),"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending).",,OmniYield,https://omniyield.finance/
DeltaPrime (BTC),Counted BTC sits in traders' leveraged accounts funded by DeltaPrime's deposit pools; its WBTC and BTC.b pools are fully lent out (hacked three times in 2024),"5.0 on the Arbitrum WBTC pool, 0.1 on Avalanche BTC.b (Sep 2026)",DeltaPrime,https://deltaprime.io
Extra Finance (cbBTC),cbBTC lent in Extra Finance's lending pool on Base to borrowers who run leveraged yield farms,0.16 (Sep 2026),Extra Finance,https://app.extrafi.io/
Kine (BTC),"WBTC and BTCB left in Kine Protocol's staking pool, which made stakers the counterparty to traders on its derivatives exchange; Kine's websites are offline",,Kine Protocol (inactive),https://defillama.com/protocol/kine-finance
Reaper (WBTC),"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending).",,Reaper Farm,https://reaper.farm
