product,slug,category_code,category_name,subcategory,tvl_usd,tvl_btc,source,method,offchain,double_count_note,include_net,justification
"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",babylon-protocol,C2,Staking & restaking,Native BTC staking (self-custodial),3056225245,37648.44,DefiLlama /protocol/babylon-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,Babylon split by finality-provider attribution (Babylon LCD active delegations 2026-09-21).,1,Timelocked native BTC secures PoS chains; rewards in BABY. ~80% of active stake is Kraken exchange staking (FP data).
Babylon (BTC staking) - stake attributed to listed LSTs/products,babylon-protocol,C2,Staking & restaking,Native BTC staking (self-custodial),298820284,3681.05,DefiLlama /protocol/babylon-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,"counted in: Gate GTBTC 3,455, Bedrock uniBTC 153, Lombard LBTC 42, SolvBTC LSTs (SolvBTC.BBN etc.) 31 BTC",0,Timelocked native BTC secures PoS chains; rewards in BABY. ~80% of active stake is Kraken exchange staking (FP data).
Gate GTBTC,gtbtc,C2,Staking & restaking,Exchange BTC LST (Babylon),281564412,3468.48,DefiLlama /protocol/gtbtc (2026-09-20 00:00 UTC point),token-breakdown,0,GTBTC BTC is staked in Babylon (Gate Earn FP); the Babylon row excludes it.,1,"Gate stakes the BTC in Babylon (Gate Earn FP 3,455 BTC ~ GTBTC 3,468 BTC)."
b14g,b14g,C2,Staking & restaking,Dual staking (Core / Babylon Genesis),258229490,3181.03,DefiLlama /protocol/b14g (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Native BTC timelocked for Core/Babylon dual staking; rewards in partner tokens.
Symbiotic (BTC vaults) - direct / other holders,symbiotic,C2,Staking & restaking,Restaking collateral,226532040,2790.56,DefiLlama /protocol/symbiotic (2026-09-20 00:00 UTC point),token-breakdown,0,uniBTC/LBTC inside Symbiotic counted here (holder); 582.8 LBTC = Lombard BTCe credit cover counted in Lombard Vaults.,1,"BTC collateral (uniBTC, LBTC, SolvBTC) restaked in Symbiotic vaults."
Bedrock uniBTC - held inside other listed products,bedrock-unibtc,C2,Staking & restaking,"BTC LRT (Babylon, Symbiotic)",220815452,2720.14,DefiLlama /protocol/bedrock-unibtc (2026-09-20 00:00 UTC point),token-breakdown,0,"counted at holder level: Symbiotic (BTC vaults) $211.9M, Mellow restaking (uniBTC) $8.7M, Corn Kernels pre-deposit $0.1M, B2 Buzz Farming $0.1M, SatLayer $0.1M",0,Liquid restaking BTC (Babylon + Symbiotic points/rewards).
CIAN Yield Layer (BTC vaults),cian-yield-layer,C2,Staking & restaking,BTC LST yield layer,199898734,2462.47,DefiLlama /protocol/cian-yield-layer (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Locked FBTC / pumpBTC vaults deploying into BTC staking/restaking yield.
Core BTC staking (Satoshi Plus),-,C2,Staking & restaking,Native BTC timelock staking,179425242,2210.27,Core staking API /staking/summary/overall stakedBTCAmount (read 2026-09-21),on-chain API,0,May overlap b14g (partly Core-staked) and Maple BTC Yield: unmeasured; included in net (range in overlap.md).; current only; may overlap b14g and Maple BTC Yield (unmeasured),1,Non-custodial timelocked BTC delegated to Core validators; rewards in CORE.
exSat Staking BTC,exsat-staking-btc,C2,Staking & restaking,BTC staking (docking layer),178262898,2195.95,DefiLlama /protocol/exsat-staking-btc (2026-09-20 00:00 UTC point),token-breakdown,0,,1,BTC staked to exSat (XSAT rewards); XBTC-style receipt.
Bedrock uniBTC - direct / other holders,bedrock-unibtc,C2,Staking & restaking,"BTC LRT (Babylon, Symbiotic)",152179840,1874.64,DefiLlama /protocol/bedrock-unibtc (2026-09-20 00:00 UTC point),token-breakdown,0,uniBTC deposited in Symbiotic/Mellow/others counted at holder; 153 BTC Babylon stake excluded from Babylon.,1,Liquid restaking BTC (Babylon + Symbiotic points/rewards).
SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,solvbtc-lsts,C2,Staking & restaking,BTC LST (Babylon/Core),78653160,968.9,DefiLlama /protocol/solvbtc-lsts (2026-09-20 00:00 UTC point),token-breakdown,0,,1,SolvBTC staked via Babylon/Core LST wrappers.
Vishwa,vishwa,C2,Staking & restaking,Anchor BTC (mechanism undisclosed),70220793,865.02,DefiLlama /protocol/vishwa (2026-09-20 00:00 UTC point),token-breakdown,0,yield mechanism not verified; placed in C2 by DefiLlama Anchor-BTC grouping,1,DefiLlama Anchor BTC; native BTC on Bitcoin; yield source not disclosed.
Symbiotic (BTC vaults) - LBTC credit cover for Lombard BTCe,symbiotic,C2,Staking & restaking,Restaking collateral,47419171,584.14,DefiLlama /protocol/symbiotic (2026-09-20 00:00 UTC point),token-breakdown,0,counted in Lombard Vaults (BTCOC),0,"BTC collateral (uniBTC, LBTC, SolvBTC) restaked in Symbiotic vaults."
Starknet BTC Staking,starknet-btc-staking,C2,Staking & restaking,BTC staking on L2,47403254,583.94,DefiLlama /protocol/starknet-btc-staking (2026-09-20 00:00 UTC point),token-breakdown,0,,1,WBTC/SolvBTC/tBTC staked for Starknet consensus; rewards in STRK.
ObeliskBTC,obeliskbtc,C2,Staking & restaking,BTC restaking/asset mgmt,25867587,318.65,DefiLlama /protocol/obeliskbtc (2026-09-20 00:00 UTC point),token-breakdown,0,mechanism not verified,1,"""Bitcoin asset management through restaking"" (DefiLlama description)."
PumpBTC - held inside other listed products,pumpbtc,C2,Staking & restaking,Babylon LRT,24654715,303.71,DefiLlama /protocol/pumpbtc (2026-09-20 00:00 UTC point),token-breakdown,0,counted at holder level: CIAN Yield Layer (BTC vaults) $24.6M,0,Babylon liquid restaking token.
ether.fi eBTC,ether.fi-stake,C2,Staking & restaking,BTC restaking vault,22453775,276.6,DefiLlama yields pools (2026-09-20),yields-pools,0,"gross only: eBTC is a Veda BoringVault, presumed inside the Veda (other BTC vaults) balance; yields-pool history starts 2026-01",0,eBTC (Veda vault) restakes LBTC/WBTC/cbBTC (Karak/Symbiotic/EigenLayer).
Mellow restaking (uniBTC),mellow-restaking,C2,Staking & restaking,Restaking vault,8722753,107.45,DefiLlama /protocol/mellow-restaking (2026-09-20 00:00 UTC point),token-breakdown,0,,1,uniBTC restaking vault.
PumpBTC - direct / other holders,pumpbtc,C2,Staking & restaking,Babylon LRT,3135598,38.63,DefiLlama /protocol/pumpbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Babylon liquid restaking token.
Endur (Starknet BTC LSTs),endur,C2,Staking & restaking,LST on Starknet BTC staking,2631947,32.42,DefiLlama /protocol/endur (2026-09-20 00:00 UTC point),token-breakdown,0,Endur LSTs delegate into Starknet BTC Staking: counted there.,0,BTC LSTs that delegate into Starknet BTC staking: presumed nested in the Starknet BTC Staking row.
Fragmetric (zBTC),fragmetric,C2,Staking & restaking,Restaking (Solana),1316046,16.21,DefiLlama /protocol/fragmetric (2026-09-20 00:00 UTC point),token-breakdown,0,,1,fragBTC restaking.
Solv Others (M-BTC),solv-others,C2,Staking & restaking,BTC LST (small),1091406,13.44,DefiLlama /protocol/solv-others (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Solv LST backing on Merlin (small).
Swell swBTC,swell-btc-lrt,C2,Staking & restaking,BTC LRT,474154,5.84,DefiLlama /protocol/swell-btc-lrt (2026-09-20 00:00 UTC point),token-breakdown,0,historical: ~0 today,1,BTC liquid restaking token.
EigenLayer / EigenCloud (BTC part),eigencloud,C2,Staking & restaking,Restaking,328936,4.05,DefiLlama /protocol/eigencloud (2026-09-20 00:00 UTC point),token-breakdown,0,,1,tBTC/WBTC/LBTC restaked.
Pell Network,pell-network,C2,Staking & restaking,BTC restaking,197588,2.43,DefiLlama /protocol/pell-network (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Omnichain BTC restaking.
SatLayer,satlayer,C2,Staking & restaking,BTC restaking (BVS),176748,2.18,DefiLlama /protocol/satlayer (2026-09-20 00:00 UTC point),token-breakdown,0,,1,BTC restaking for Bitcoin Validated Services.
SolvBTC LSTs (SolvBTC.BBN etc.) - held inside other listed products,solvbtc-lsts,C2,Staking & restaking,BTC LST (Babylon/Core),114940,1.42,DefiLlama /protocol/solvbtc-lsts (2026-09-20 00:00 UTC point),token-breakdown,0,counted at holder level: ,0,SolvBTC staked via Babylon/Core LST wrappers.
Lorenzo stBTC,lorenzo-stbtc,C2,Staking & restaking,Babylon LST,27309,0.34,DefiLlama /protocol/lorenzo-stbtc (2026-09-20 00:00 UTC point),total,0,,1,Babylon LST (now ~0).
BitFi bfBTC (EVM chains),bitfi-basis,C3,Basis & delta-neutral,CeDeFi basis,229337990,2825.12,DefiLlama /protocol/bitfi-basis (2026-09-20 00:00 UTC point),token-breakdown,0,"bfBTC mechanism = BitFi CeDeFi (basis/staking), not verified",1,bfBTC supply on BSC/Ethereum/Base/Pharos; BitFi CeDeFi strategies (basis).
Solv Basis Trading (SolvBTC.TRADING),solv-basis-trading,C3,Basis & delta-neutral,CEX basis fund,200685805,2472.17,DefiLlama /protocol/solv-basis-trading (2026-09-20 00:00 UTC point),token-breakdown,0,SolvBTC.TRADING supply; base SolvBTC wrapper excluded; no overlap with SolvBTC LSTs (different token supply).,1,SolvBTC deployed into CEX basis trading.
BitFi bfBTC (AILayer),bitfi-btc,C3,Basis & delta-neutral,CeDeFi basis,82564735,1017.08,DefiLlama /protocol/bitfi-btc (2026-09-20 00:00 UTC point),token-breakdown,0,"same token as BitFi Basis, different chain",1,bfBTC on AILayer; same BitFi CeDeFi product.
Starboard Sygnum BTC Alpha Fund,-,C3,Basis & delta-neutral,Off-chain market-neutral overlay fund,60883500,750.0,fund disclosures (dossier),disclosed,1,"""750+ BTC"" disclosed: lower bound",1,"Directional BTC + market-neutral overlay (perps, futures, options)."
Syntetika hBTC disclosed AUM (memo),syntetika,C3,Basis & delta-neutral,Memo: same as on-chain Syntetika row,16100000,198.33,Syntetika/Hilbert disclosures,disclosed,1,memo only: ~$16.1M disclosed vs $15.1M on-chain (DefiLlama); counted once via the on-chain row,0,See on-chain Syntetika row.
Syntetika hBTC (Hilbert BTC Basis+),syntetika,C3,Basis & delta-neutral,"Basis+ fund token (on-chain, Base)",15143828,186.55,DefiLlama /protocol/syntetika (2026-09-20 00:00 UTC point),token-breakdown,0,Same product as the off-chain Syntetika memo row (not double counted).,1,"cbBTC -> hBTC: basis + curve arb + short options, NAV fund (Hilbert Capital)."
Multipli xWBTC,multipli.fi,C3,Basis & delta-neutral,"Delta-neutral fund access (mechanism per Multipli, not verified)",3836299,47.26,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: xWBTC.,1,"xWBTC routes WBTC to institutional delta-neutral strategies (Multipli names Nomura, Fasanara and Edge Capital)."
DeSyn Basis Trading (BTC),desyn-basis-trading,C3,Basis & delta-neutral,Basis,1803217,22.21,DefiLlama /protocol/desyn-basis-trading (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"Basis trading fund, WBTC part."
Hope (BTC basis collateral),hope-collateral,C3,Basis & delta-neutral,Basis,1651130,20.34,DefiLlama /protocol/hope-collateral (2026-09-20 00:00 UTC point),token-breakdown,0,,1,DefiLlama Basis Trading; BTC collateral.
Midas mRe7BTC (Re7),midas-rwa,C3,Basis & delta-neutral,Market-neutral NAV token,758947,9.35,DefiLlama yields pools (2026-09-20),yields-pools,0,,1,BTC-denominated market-neutral strategies (Re7).
Manta CeDeFi (BTC),manta-cedefi,C3,Basis & delta-neutral,CeDeFi basis,650657,8.02,DefiLlama /protocol/manta-cedefi (2026-09-20 00:00 UTC point),token-breakdown,0,,1,CeDeFi delta-neutral.
Liminal Basis (BTC),liminal-basis,C3,Basis & delta-neutral,Basis on Hyperliquid,117907,1.45,DefiLlama /protocol/liminal-basis (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Delta-neutral basis on Hyperliquid.
Coinbase Bitcoin Yield Fund (CBYF),-,C3,Basis & delta-neutral,Off-chain cash-and-carry fund,,,Coinbase disclosures (AUM not disclosed),disclosed,1,AUM not disclosed (blank),0,Spot BTC vs derivatives (cash-and-carry); USCBYF adds private credit.
Lombard LBTC - direct / other holders,lombard-lbtc,C4,Options selling,LST -> covered call (Bitwise) from 13.08.2026,636157954,7836.58,DefiLlama /protocol/lombard-lbtc (2026-09-20 00:00 UTC point),token-breakdown,0,"LBTC -> LBTCv/BTCe (Lombard Vaults) and other holders counted once at the holder; LBTC in Babylon is ~0 (42 BTC).; category switches C2->C4 at 2026-08 (Babylon LST until Aug-2026, then off-chain covered call)",1,Babylon LST until Aug-2026; since 13.08.2026 yield = Bitwise off-chain covered-call program => C4 from 2026-08.
Lombard LBTC - held inside other listed products,lombard-lbtc,C4,Options selling,LST -> covered call (Bitwise) from 13.08.2026,53769553,662.37,DefiLlama /protocol/lombard-lbtc (2026-09-20 00:00 UTC point),token-breakdown,0,"counted at holder level: Lombard Vaults (LBTCv / BTCe) $53.2M, Veda (other BTC vaults, excl. Kraken) $0.2M, Trevee / Rings earn (BTC) $0.1M, SatLayer $0.1M; category switches C2->C4 at 2026-08 (Babylon LST until Aug-2026, then off-chain covered call)",0,Babylon LST until Aug-2026; since 13.08.2026 yield = Bitwise off-chain covered-call program => C4 from 2026-08.
Rysk V12 (BTC part),rysk-v12,C4,Options selling,On-chain covered calls / CSPs,6900332,85.0,DefiLlama /protocol/rysk-v12 (2026-09-20 00:00 UTC point),token-breakdown,0,,1,WBTC/UBTC underwrite covered calls.
D2 Finance (UBTC),d2-finance,C4,Options selling,Derivatives strategy vault,3193081,39.33,DefiLlama /protocol/d2-finance (2026-09-20 00:00 UTC point),token-breakdown,0,strategy mix not verified,1,Options/derivatives yield vault.
Ribbon (WBTC theta vault),ribbon,C4,Options selling,DOV (legacy),1738585,21.42,DefiLlama /protocol/ribbon (2026-09-20 00:00 UTC point),token-breakdown,0,,1,WBTC covered-call theta vault.
Hegic (WBTC pool),hegic,C4,Options selling,Option writing pool,792952,9.77,DefiLlama /protocol/hegic (2026-09-20 00:00 UTC point),token-breakdown,0,,1,Peer-to-pool option writing with WBTC.
Lombard LBTC covered call (Bitwise) (memo),lombard-lbtc,C4,Options selling,Memo: already counted via LBTC,,,Lombard/Bitwise announcement,disclosed,1,memo only: the covered-call program runs on LBTC collateral already counted in the LBTC row,0,See LBTC row.
Hilbert Xapo Byzantine BTC Credit Fund,-,C5,Credit to institutions,Off-chain BTC credit fund,100003178,1231.9,"disclosed: $100M phase-1 allocations; 3,000 BTC seed (2024); fund page (launch 15.09.2024, net 2.94%) gives no AUM",disclosed,1,"ESTIMATE: $100M phase-1 allocation used (=1,231.9 BTC); range up to 3,000 BTC (2024 seed)",1,"Short BTC loans to tier-1 institutions, no leverage, no DeFi."
Lombard Vaults (LBTCv / BTCe),lombard-vaults,C5,Credit to institutions,Sentora-managed vault; BTCe credit leg (Cap/Symbiotic) from 07-2026,74619732,919.21,DefiLlama /protocol/lombard-vaults (2026-09-20 00:00 UTC point),token-breakdown,0,"Holds LBTC/BTCOC (LBTC-backed): counted here, removed from LBTC.; C6 (DeFi money-market/points vault) until 2026-06; C5 from 2026-07 (first-loss cover for Flow Traders loan on Cap)",1,BTCe credit leg: LBTC delegated via Symbiotic as slashable cover for an institutional loan => C5 (plan). Earlier LBTCv = DeFi/points vault.
Accountable YieldApp (cbBTC/wcBTC),accountable,C5,Credit to institutions,Uncollateralized credit vaults,47789815,588.7,DefiLlama /protocol/accountable (2026-09-20 00:00 UTC point),token-breakdown (+borrowed),0,,1,"cbBTC lent to verified borrowers (Monad/Citrea); DefiLlama books it as borrowed, so borrowed + idle are counted."
Wildcat (BTC),wildcat-protocol,C5,Credit to institutions,Uncollateralized credit to market makers,13067073,160.97,"DefiLlama yields pool, cross-check 2026-09-23 (total supplied on the 2026-09-23 page)",lend-borrow (page),0,Snapshot only; DefiLlama history counts only undrawn BTC.,1,"Lending: BTC lent to market makers (Wintermute and others), uncollateralized."
Two Prime Axiom WBTC Vault (Pareto),pareto-credit,C5,Credit to institutions,Institutional BTC lending,12176700,150.0,"dossier: 150 WBTC first-loss (vault TVL $12.1M), live since 16.09.2026; on-chain Pareto vault not tracked by DefiLlama",disclosed,1,,1,WBTC lent to institutions; sole borrower on Pareto is Two Prime itself.
Solv RWA (SolvBTC),solv-rwa,C5,Credit to institutions,RWA/credit,8320000,102.49,DefiLlama /protocol/solv-rwa (2026-09-20 00:00 UTC point),token-breakdown,0,constant value in DefiLlama; mechanism not verified,1,SolvBTC allocated to RWA/credit strategies.
Native Credit Pool (BTC part),native-credit-pool,C5,Credit to institutions,Credit to market makers,3647518,44.93,DefiLlama /protocol/native-credit-pool (2026-09-20 00:00 UTC point),token-breakdown,0,,1,BTC lent to Native PMM market makers.
B2 Buzz Farming,buzz-farming,C6,"LP, emissions, farming, DeFi vaults",L2 points/emissions farm,261519270,3221.55,DefiLlama /protocol/buzz-farming (2026-09-20 00:00 UTC point),token-breakdown,0,,1,BTC on B2 farming B2 points/partner rewards.
"Veda (other BTC vaults, excl. Kraken)",veda,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vaults (unidentified),109546051,1349.45,DefiLlama /protocol/veda (2026-09-20 00:00 UTC point),token-breakdown (minus etherfi-liquid-btc),0,"vaults not identified (mostly Ethereum WBTC, 1,449 BTC); ether.fi Liquid BTC (a Veda vault, counted in C1) subtracted each month: DefiLlama Veda Optimism WBTC 93.3 = liquidBTC Optimism shares",1,Veda BoringVault BTC balances outside the Kraken vault.
AILayer farm (AINN),ailayer-farm,C6,"LP, emissions, farming, DeFi vaults",L2 points farm,84566862,1041.75,DefiLlama /protocol/ailayer-farm (2026-09-20 00:00 UTC point),token-breakdown,0,"Presumed same BTC as bfBTC on AILayer.; presumed same BTC as BitFi bfBTC on AILayer (84.6 vs 82.6 $M, co-moving)",0,BTC staked to AINN L2 for points.
Solv Strategies,solv-strategies,C6,"LP, emissions, farming, DeFi vaults",DeFi strategy vaults,70136942,863.99,DefiLlama /protocol/solv-strategies (2026-09-20 00:00 UTC point),token-breakdown,0,,1,SolvBTC in LP/farming strategies.
Mezo Earn (veBTC),mezo-earn,C6,"LP, emissions, farming, DeFi vaults",Vote-escrow BTC (emissions/fees),66030925,813.41,DefiLlama /protocol/mezo-earn (2026-09-20 00:00 UTC point),token-breakdown,0,,1,BTC locked as veBTC; MUSD-denominated voting APR.
Zest v2 (sBTC supply),zest-v2,C6,"LP, emissions, farming, DeFi vaults",Incentivised supply (Stacks),54925386,676.6,DefiLlama /protocol/zest-v2 (2026-09-20 00:00 UTC point),token-breakdown (+borrowed),0,"STBTC ($10.9M) excluded: yields API lists it as stSTXbtc (STX LST), DefiLlama prices it as BTC",1,sBTC supply earning mostly incentive-driven APY (plan: Zest supply in C6). Supplied = idle + borrowed.
Uniswap v3 BTC-pair pools (over $1M),uniswap-v3,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),42951149,529.1,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: WBTC/kBTC 0.01% x0.42; WBTC/cbBTC 0.01%; WBTC/SolvBTC 0.05%; tBTC/WBTC 0.01%; uniBTC/WBTC 0.05% x0.5; WBTC/FBTC 0.3%; tBTC/WBTC 0.05%; WBTC/cbBTC 0.01% (Arbitrum); WBTC/stBTC 0.05% x0.5.,1,BTC-pair DEX pools over $1M (in scope since the 2026-09-23 cross-check); trading fees in BTC.
Uniswap v4 BTC-pair pools (over $1M),uniswap-v4,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),35553102,437.96,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: WBTC/cbBTC 0.01%; WBTC/cbBTC 0.01% (second pool); BTC.b/cbBTC 0.01%; tBTC/cbBTC 0.01%; LBTC/cbBTC 0.02% x0.5.,1,BTC-pair DEX pools over $1M (in scope since the 2026-09-23 cross-check); trading fees in BTC.
Proxy (PRXY BTC strategies),proxy,C6,"LP, emissions, farming, DeFi vaults","Token-incentive (3,3)",21211046,261.29,DefiLlama /protocol/proxy (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"WBTC in ""Bitcoin Yield Strategies"" with PRXY emissions."
Fluid DEX BTC pools (over $1M),fluid-dex,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),20431264,251.68,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: WBTC/cbBTC; eBTC/cbBTC x0.5; WBTC/LBTC x0.5.,1,"BTC-pair DEX pools over $1M; Fluid pools double as smart collateral, so part of this BTC also backs loans."
Lagoon (BTC vaults),lagoon,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,17862085,220.04,DefiLlama /protocol/lagoon (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Convex (BTC LPs),convex-finance,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,16753088,206.37,DefiLlama /protocol/convex-finance (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Ember (BTC vaults),ember-protocol,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,15421744,189.97,DefiLlama /protocol/ember-protocol (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
"Curve BTC pools (over $1M, LP not staked via Convex or Stake DAO)",curve-dex,C6,"LP, emissions, farming, DeFi vaults",DEX LP (BTC pairs),13465326,165.87,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,"Pools: tBTC/WBTC 2BTC-f, less Stake DAO x0.93; cbBTC/WBTC/LBTC (Monad), less the LBTC third x0.667; pumpBTC/WBTC x0.5; WBTC/tBTC 2BTC-ng (Arbitrum), less Stake DAO and Beefy x0.207.",1,BTC-pair DEX pools over $1M; the LP staked through Convex or Stake DAO is already counted in those rows.
Mellow Core (BTC vaults),mellow-core,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,13292360,163.74,DefiLlama /protocol/mellow-core (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
Beefy (BTC vaults),beefy,C6,"LP, emissions, farming, DeFi vaults",Yield aggregator / DeFi vault,12327964,151.86,DefiLlama /protocol/beefy (2026-09-20 00:00 UTC point),token-breakdown,0,,1,"BTC deposits in aggregator/strategy vaults (LP fees, emissions, lending)."
"GMX v2 BTC-only pool (GM BTC/USD, WBTC.b)",gmx-v2-perps,C6,"LP, emissions, farming, DeFi vaults",Perp LP: counterparty to traders,10666083,131.39,"DefiLlama yields pool, cross-check 2026-09-23 (2026-09-20 point)",yields-pool,0,Pools: GM BTC/USD [WBTC.b-WBTC.b] (Arbitrum).,1,"BTC-only GM pool: LPs earn trading, borrowing and funding fees and take the other side of traders; paid in BTC."
